country,emissions
Algeria,3458.5116641591303
Angola,1262.0228374004364
Argentina,5281.486630972475
Australia,5593.369922637939
Azerbaijan,627.7174263596535
Bahrain,367.1285820007324
Bangladesh,3730.375565648079
Benin,244.15181339159608
Bolivia,1041.4598563234322
Botswana,955.2498574331403
Brazil,20266.603878974915
Brunei,54.78703178092838
Cameroon,789.9253106117249
Canada,4657.950303435326
Central African Republic,447.14228820800776
Chad,1358.7566054384224
China,57838.658752441406
Colombia,3287.8587547540665
Congo,346.71358117461205
Cote d'Ivoire,583.195742726326
Cuba,455.44532227516174
Democratic Republic of Congo,1801.646055817604
Denmark,349.4160398095846
Ecuador,883.7603750228882
Egypt,2636.3289133906364
Equatorial Guinea,184.09687322378159
Eritrea,158.59836627170444
Estonia,87.0244725048542
Ethiopia,3431.3123641759157
France,2556.1883606910706
Gabon,298.1219551563263
Gambia,47.587690591812134
Germany,2492.833724975586
Ghana,506.4448733329773
Guinea,524.3635742347687
Guinea-Bissau,87.7728796005249
Guyana,115.88518360257149
India,31237.20220184326
Indonesia,14562.362504959106
Iran,7485.03931710124
Iraq,3061.1640291512012
Israel,371.8883091509342
Italy,1811.6173360347748
Japan,1651.618194103241
Jordan,277.6751318573952
Kazakhstan,3788.446078181267
Kenya,1753.6534547060728
Korea,1321.773742198944
Kuwait,1274.5653143525124
Lebanon,134.48234494775534
Liberia,43.89775466918945
Libya,1763.4289331436157
Malaysia,1607.6532942056656
Mexico,6181.236725389957
Mongolia,802.1777545809746
Morocco,747.1314373612404
Mozambique,764.0628786007874
Namibia,204.4387132525444
Netherlands,674.25210750103
New Zealand,1375.6332386732101
Niger,934.1127056996338
Nigeria,7949.746392166242
Norway,208.05006149411201
Oman,986.2348275184631
Other,14827.880420684814
Other EU17 countries,5653.868232727051
Other EU7 countries,490.26870465278625
Other countries in Europe,5362.64128112793
Other countries in Southeast Asia,4611.025215148926
Pakistan,7686.512107849121
Paraguay,996.0662097930908
Peru,1213.889622926712
Philippines,2616.8863970041275
Poland,2059.4480323791504
Qatar,1223.9079860523343
Romania,962.2285566329956
Russia,24562.150939941406
Saudi Arabia,4198.327727481723
Senegal,393.00746765732765
Seychelles,2.6218980997800827
Sierra Leone,145.84455108642578
Slovenia,81.91087867319584
Somalia,816.962818145752
South Africa,2970.2400550842285
South Sudan,900.3109508156776
Sudan,2042.1297624111176
Sweden,361.1227114200592
Syria,543.5680282302201
Tanzania,3030.2406091094017
Thailand,3456.3244104385376
Togo,136.71586394309998
Trinidad and Tobago,282.76962062716484
Tunisia,299.60125255584717
Turkmenistan,5101.431347548962
Ukraine,1447.0228357315063
United Arab Emirates,1966.4669157266617
United Kingdom,2578.6543464660645
United States,32664.978183746338
Uruguay,908.8114854097366
Uzbekistan,1989.524531757459
Venezuela,4061.5582558102906
Vietnam,3133.6703729629517
Yemen,490.4335405565798
Portugal,231.49946211741752
Cambodia,1272.7930694277154
Belize,497.37942559605773
Moldova,231.49946211741752
Luxembourg,231.49946211741752
Bulgaria,231.49946211741752
Myanmar,1272.7930694277154
Czechia,231.49946211741752
Jamaica,205.7013586207824
South Korea,1321.773742198944
Palestinian Territory,297.4188343915786
Finland,231.49946211741752
